Image;Collection;Production;Date;Occasion;Leaflet Language
Scan 2024-03-18 1401-118.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-119.jpeg;1956-1957;Zwarte Viooltjes;28/02/1957;;ned
Scan 2024-03-18 1401-120.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-121.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-122.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-123.jpeg;1956-1957;De Vogelhandelaar;02/03/1957;;ned
Scan 2024-03-18 1401-124.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-125.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-126.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-127.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-128.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-129.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-130.jpeg;1956-1957;Lakmé;03/03/1957;;ned
Scan 2024-03-18 1401-131.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-132.jpeg;1956-1957;De Troubadour;03/03/1957;;ned
Scan 2024-03-18 1401-133.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-134.jpeg;1956-1957;Lakmé;05/03/1957;;ned
Scan 2024-03-18 1401-135.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-136.jpeg;1956-1957;De Vogelhandelaar;07/03/1957;;ned
Scan 2024-03-18 1401-137.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-138.jpeg;1956-1957;Traviata + Vierde Symfonie;09/03/1957;;ned
Scan 2024-03-18 1401-139.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-140.jpeg;1956-1957;De Vogelhandelaar;10/03/1957;;ned
Scan 2024-03-18 1401-141.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-142.jpeg;1956-1957;Carmen;10/03/1957;;ned
Scan 2024-03-18 1401-143.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-144.jpeg;1956-1957;;12/03/1957;;ned
Scan 2024-03-18 1401-145.jpeg;1956-1957;Faust;;;ned
Scan 2024-03-18 1401-146.jpeg;1956-1957;Traviata + Vierde Symfonie;14/03/1957;;ned
Scan 2024-03-18 1401-147.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-148.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-149.jpeg;1956-1957;De Vliegende Hollander;16/03/1957;;ned
Scan 2024-03-18 1401-150.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-151.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-152.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-153.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-154.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-155.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-156.jpeg;1956-1957;Laagland;17/03/1957;;ned
Scan 2024-03-18 1401-157.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-158.jpeg;1956-1957;De Lustige Weduwe;17/03/1957;;ned
Scan 2024-03-18 1401-159.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-160.jpeg;1956-1957;De Vogelhandelaar;19/03/1957;;ned
Scan 2024-03-18 1401-161.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-162.jpeg;1956-1957;De Vliegende Hollander;21/03/1957;;ned
Scan 2024-03-18 1401-163.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-164.jpeg;1956-1957;Carmen;23/03/1957;;ned
Scan 2024-03-18 1401-165.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-166.jpeg;1956-1957;Het Land van de Glimlach;24/03/1957;;ned
Scan 2024-03-18 1401-167.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-168.jpeg;1956-1957;Faust;24/03/1957;;ned
Scan 2024-03-18 1401-169.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-170.jpeg;1956-1957;De Vogelhandelaar;26/03/1957;;ned
Scan 2024-03-18 1401-171.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-172.jpeg;1956-1957;Cavalleria Rusticana + Paljas;28/03/1957;;ned
Scan 2024-03-18 1401-173.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-174.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-175.jpeg;1956-1957;De Bruid der Zee;30/03/1957;;ned
Scan 2024-03-18 1401-176.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-177.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-178.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-179.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-180.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-181.jpeg;1956-1957;De Vliegende Hollander;31/03/1957;;ned
Scan 2024-03-18 1401-182.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1401-183.jpeg;1956-1957;De Vogelhandelaar;31/03/1957;;ned
Scan 2024-03-18 1401-184.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-1.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-2.jpeg;1956-1957;Khowanstsjina;02/04/1957;galavoorstelling;ned
Scan 2024-03-18 1432-3.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-4.jpeg;1956-1957;De Bruid der Zee;04/04/1957;;ned
Scan 2024-03-18 1432-5.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-6.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-7.jpeg;1956-1957;Aida;06/04/1957;;ned
Scan 2024-03-18 1432-8.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-9.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-10.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-11.jpeg;1956-1957;Ariadne op Naxos + Vierde Symfonie;07/04/1957;;ned
Scan 2024-03-18 1432-12.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-13.jpeg;1956-1957;De Bruid der Zee;07/04/1957;;ned
Scan 2024-03-18 1432-14.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-15.jpeg;1956-1957;Carmen;09/04/1957;;ned
Scan 2024-03-18 1432-16.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-17.jpeg;1956-1957;Ariadne op Naxos + Vierde Symfonie;11/04/1957;;ned
Scan 2024-03-18 1432-18.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-19.jpeg;1956-1957;De Lustige Weduwe;13/04/1957;;ned
Scan 2024-03-18 1432-20.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-21.jpeg;1956-1957;De Bruid der Zee;14/04/1957;;ned
Scan 2024-03-18 1432-22.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-23.jpeg;1956-1957;De Vliegende Hollander;14/04/1957;;ned
Scan 2024-03-18 1432-24.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-25.jpeg;1956-1957;Het Land van de Glimlach;16/04/1957;galavoorstelling;ned
Scan 2024-03-18 1432-26.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-27.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-28.jpeg;1956-1957;Parsifal;19/04/1957;;ned
Scan 2024-03-18 1432-29.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-30.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-31.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-32.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-33.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-34.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-35.jpeg;1956-1957;Lucia van Lammermoor;20/04/1957;;ned
Scan 2024-03-18 1432-36.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-37.jpeg;1956-1957;Aida;21/04/1957;;ned
Scan 2024-03-18 1432-38.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-39.jpeg;1956-1957;Traviata + Vierde Symfonie;21/04/1957;;ned
Scan 2024-03-18 1432-40.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-41.jpeg;1956-1957;Parsifal;22/04/1957;;ned
Scan 2024-03-18 1432-42.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-43.jpeg;1956-1957;Madame Butterfly;23/04/1957;;ned
Scan 2024-03-18 1432-44.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-45.jpeg;1956-1957;Het Land van de Glimlach;25/04/1957;;ned
Scan 2024-03-18 1432-46.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-47.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-48.jpeg;1956-1957;Rigoletto;27/04/1957;;ned
Scan 2024-03-18 1432-49.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-50.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-51.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-52.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-53.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-54.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-55.jpeg;1956-1957;De Lustige Weduwe;28/04/1957;;ned
Scan 2024-03-18 1432-56.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-57.jpeg;1956-1957;Laagland;28/04/1957;;ned
Scan 2024-03-18 1432-58.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-59.jpeg;1956-1957;Zwarte Viooltjes;30/04/1957;galavoorstelling;ned
Scan 2024-03-18 1432-60.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-61.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-62.jpeg;1956-1957;Rigoletto;02/05/1957;;ned
Scan 2024-03-18 1432-63.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-64.jpeg;1956-1957;Het Land van de Glimlach;04/05/1957;;ned
Scan 2024-03-18 1432-65.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-66.jpeg;1956-1957;Faust;05/05/1957;;ned
Scan 2024-03-18 1432-67.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-68.jpeg;1956-1957;Rigoletto;05/05/1957;;ned
Scan 2024-03-18 1432-69.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-70.jpeg;1956-1957;Zwarte Viooltjes;07/05/1957;;ned
Scan 2024-03-18 1432-71.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-72.jpeg;1956-1957;De Lustige Weduwe;09/05/1957;;ned
Scan 2024-03-18 1432-73.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-74.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-75.jpeg;1956-1957;Hoffmanns Vertellingen;11/05/1957;;ned
Scan 2024-03-18 1432-76.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-77.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-78.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-79.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-80.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-81.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-82.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-83.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-84.jpeg;1956-1957;Zwarte Viooltjes;12/05/1957;;ned
Scan 2024-03-18 1432-85.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-86.jpeg;1956-1957;De Vogelhandelaar;14/05/1957;;ned
Scan 2024-03-18 1432-87.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-88.jpeg;1956-1957;Aida;16/05/1957;;ned
Scan 2024-03-18 1432-89.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-90.jpeg;1956-1957;Madame Butterfly + Vierde Symfonie;18/05/1957;;ned
Scan 2024-03-18 1432-91.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-92.jpeg;1956-1957;Hoffmanns Vertellingen;19/05/1957;;ned
Scan 2024-03-18 1432-93.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-94.jpeg;1956-1957;Aida;19/05/1957;;ned
Scan 2024-03-18 1432-95.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-96.jpeg;1956-1957;Cavalleria Rusticana + Paljas;21/05/1957;;ned
Scan 2024-03-18 1432-97.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-98.jpeg;1956-1957;Hoffmanns Vertellingen;23/05/1957;;ned
Scan 2024-03-18 1432-99.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-100.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-101.jpeg;1956-1957;De Bedelstudent;25/05/1957;;ned
Scan 2024-03-18 1432-102.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-103.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-104.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-105.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-106.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-107.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-108.jpeg;1956-1957;Walsdroom;26/05/1957;;ned
Scan 2024-03-18 1432-109.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-110.jpeg;1956-1957;Hoffmanns Vertellingen;26/05/1957;;ned
Scan 2024-03-18 1432-111.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-112.jpeg;1956-1957;Faust;28/05/1957;;ned
Scan 2024-03-18 1432-113.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-114.jpeg;1956-1957;De Bedelstudent;30/05/1957;;ned
Scan 2024-03-18 1432-115.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-116.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-117.jpeg;1956-1957;Cavalleria Rusticana + Paljas;01/06/1957;;ned
Scan 2024-03-18 1432-118.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-119.jpeg;1956-1957;De Bedelstudent;02/06/1957;;ned
Scan 2024-03-18 1432-120.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-121.jpeg;1956-1957;Wilhelm Tell;02/06/1957;;ned
Scan 2024-03-18 1432-122.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-123.jpeg;1956-1957;De Bedelstudent;04/06/1957;;ned
Scan 2024-03-18 1432-124.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-125.jpeg;1956-1957;Zwarte Viooltjes;06/06/1957;;ned
Scan 2024-03-18 1432-126.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-127.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-128.jpeg;1956-1957;Don Giovanni;08/06/1957;;ned
Scan 2024-03-18 1432-129.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-130.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-131.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-132.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-133.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-134.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-135.jpeg;1956-1957;Traviata + Vierde Symfonie;09/06/1957;;ned
Scan 2024-03-18 1432-136.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-137.jpeg;1956-1957;De Bedelstudent;09/06/1957;;ned
Scan 2024-03-18 1432-138.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-139.jpeg;1956-1957;Aida;11/06/1957;;ned
Scan 2024-03-18 1432-140.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-141.jpeg;1956-1957;Don Giovanni;13/06/1957;;ned
Scan 2024-03-18 1432-142.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-143.jpeg;1956-1957;De Vogelhandelaar;15/06/1957;;ned
Scan 2024-03-18 1432-144.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-145.jpeg;1956-1957;Don Giovanni;16/06/1957;;ned
Scan 2024-03-18 1432-146.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-147.jpeg;1956-1957;Cavalleria Rusticana + Paljas;16/06/1957;;ned
Scan 2024-03-18 1432-148.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-149.jpeg;1956-1957;Zwarte Viooltjes;18/06/1957;;ned
Scan 2024-03-18 1432-150.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-151.jpeg;1956-1957;Faust;20/06/1957;;ned
Scan 2024-03-18 1432-152.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-153.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-154.jpeg;1956-1957;Peter Grimes;22/06/1957;;ned
Scan 2024-03-18 1432-155.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-156.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-157.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-158.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-159.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-160.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-161.jpeg;1956-1957;Cavalleria Rusticana + Paljas;23/06/1957;;ned
Scan 2024-03-18 1432-162.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-163.jpeg;1956-1957;Don Giovanni;23/06/1957;;ned
Scan 2024-03-18 1432-164.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-165.jpeg;1956-1957;Het Land van de Glimlach;25/06/1957;;ned
Scan 2024-03-18 1432-166.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-167.jpeg;1956-1957;Peter Grimes;27/06/1957;;ned
Scan 2024-03-18 1432-168.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-169.jpeg;1956-1957;Faust;29/06/1957;;ned
Scan 2024-03-18 1432-170.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-171.jpeg;1956-1957;Peter Grimes;30/06/1957;;ned
Scan 2024-03-18 1432-172.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-173.jpeg;1956-1957;Aida;30/06/1957;;ned
Scan 2024-03-18 1432-174.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-175.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-176.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-177.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-178.jpeg;1956-1957;Venetiaans Glaswerk + Christophorus + De Vlek;24/06/1957;;ned
Scan 2024-03-18 1432-179.jpeg;1956-1957;Een Elfenfeest + Spaanse Baroefeningen + Bulerias;24/06/1957;;ned
Scan 2024-03-18 1432-180.jpeg;1956-1957;De Pacificatie van Gent;"11-7-1957;13-7-1957;14-7-1957";guldensporenviering;ned
Scan 2024-03-18 1432-181.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-182.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-183.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-184.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-185.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-186.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-187.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-188.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-189.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-190.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-191.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-192.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-193.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-194.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1432-195.jpeg;1956-1957;;;;ned
Scan 2024-03-18 1529-1.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-2.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-3.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-4.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-5.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-6.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-7.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-8.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-9.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-10.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-11.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-12.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-13.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-14.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-15.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-16.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-17.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-18.jpeg;1957-1958;Arabella;28/09/1957;openingsvoorstelling;ned
Scan 2024-03-18 1529-19.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-20.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-21.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-22.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-23.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-24.jpeg;1957-1958;Arabella;28/09/1957;;ned
Scan 2024-03-18 1529-25.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-26.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-27.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-28.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-29.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-30.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-31.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-32.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-33.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-34.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-35.jpeg;1957-1958;Boheme;29/09/1957;;ned
Scan 2024-03-18 1529-36.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-37.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-38.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-39.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-40.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-41.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-42.jpeg;1957-1958;Het Meisje van Arles + Uitnodiging tot de Dans;29/09/1957;;ned
Scan 2024-03-18 1529-43.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-44.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-45.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-46.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-47.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-48.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-49.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-50.jpeg;1957-1958;Het Driemeisjeshuis;01/10/1957;;ned
Scan 2024-03-18 1529-51.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-52.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-53.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-54.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-55.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-56.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-57.jpeg;1957-1958;Het Meisje van Arles + Uitnodiging tot de Dans;03/10/1957;;ned
Scan 2024-03-18 1529-58.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-59.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-60.jpeg;1957-1958;Hoffmanns Vertellingen;05/10/1957;;ned
Scan 2024-03-18 1529-61.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-62.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-63.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-64.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-65.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-66.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-67.jpeg;1957-1958;Het Meisje van Arles + Uitnodiging tot de Dans;06/10/1957;;ned
Scan 2024-03-18 1529-68.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-69.jpeg;1957-1958;Het Driemeisjeshuis;06/10/1957;;ned
Scan 2024-03-18 1529-70.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-71.jpeg;1957-1958;Hoffmanns Vertellingen;08/10/1957;;ned
Scan 2024-03-18 1529-72.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-73.jpeg;1957-1958;Boheme;10/10/1957;;ned
Scan 2024-03-18 1529-74.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-75.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-76.jpeg;1957-1958;Peter Grimes;12/10/1957;;ned
Scan 2024-03-18 1529-77.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-78.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-79.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-80.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-81.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-82.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-83.jpeg;1957-1958;Het Driemeisjeshuis;13/10/1957;;ned
Scan 2024-03-18 1529-84.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-85.jpeg;1957-1958;Boheme;13/10/1957;;ned
Scan 2024-03-18 1529-86.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-87.jpeg;1957-1958;Het Meisje van Arles + Rosamunde;15/10/1957;;ned
Scan 2024-03-18 1529-88.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-89.jpeg;1957-1958;Arabella;17/10/1957;;ned
Scan 2024-03-18 1529-90.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-91.jpeg;1957-1958;Het Driemeisjeshuis;19/10/1957;;ned
Scan 2024-03-18 1529-92.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-93.jpeg;1957-1958;Hoffmanns Vertellingen;20/10/1957;;ned
Scan 2024-03-18 1529-94.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-95.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-96.jpeg;1957-1958;Lakmé;20/10/1957;;ned
Scan 2024-03-18 1529-97.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-98.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-99.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-100.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-101.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-102.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-103.jpeg;1957-1958;Arabella;22/10/1957;;ned
Scan 2024-03-18 1529-104.jpeg;1957-1958;;;;ned
Scan 2024-03-18 1529-105.jpeg;1957-1958;Peter Grimes;24/10/1957;;ned
Scan 2024-03-18 1529-106.jpeg;1957-1958;;;;ned
